type_of_images,algorithm,numFeatures,width,height,distance,run_num,run_time,temperature,rvecs[0],rvecs[1],rvecs[2],tvecs[0],tvecs[1],tvecs[2]
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,45.95700001716614,68,-37.079884991687891,2.4657216908235369,2.2165718028326244,-1.5522814378599079,1.4577888800858552,49.572814646835361
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,46.12600016593933,74,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,46.295000076293945,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,46.60700011253357,86,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,46.78800010681152,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,44.289000034332275,44,-39.828940945853027,3.678585361315772,2.4132373700595533,-1.4985291029280561,1.3862969143452275,49.462564298021661
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,44.42400002479553,48,-35.726823600847119,3.267851540741312,2.6086528298704903,-1.4563585451097938,1.5109828342741383,49.584690067203987
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,44.57599997520447,56,-37.962131210138196,6.2873845723813711,3.0020647509503888,-1.5685331667909679,1.4167037720377929,50.619928556932429
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,44.706000089645386,62,-38.776052453700785,2.839031848517513,2.2552612768168459,-1.4669987686254131,1.3908286883836665,48.765053930096244
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,44.84299993515015,68,-38.40688246740342,6.6781339628954779,3.2489707411436552,-1.4832010347215883,1.4465596549853412,50.190287553876715
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,44.937000036239624,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,45.03200006484985,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,45.138999938964844,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,16,45.234999895095825,92,None,None,None,None,None,None
